total conflicts,runtime,cost,avg vertices,seeds,success
0.0,0.175,338.0,6.0,99384,1.0
0.0,0.039,320.0,3.0,36421,1.0
0.0,0.042,344.0,3.0,48911,1.0
0.0,0.112,337.0,5.0,35947,1.0
0.0,0.073,338.0,4.0,43653,1.0
0.0,0.043,340.0,3.0,51848,1.0
0.0,0.074,331.0,4.0,80822,1.0
0.0,0.172,606.0,6.0,10191,1.0
0.0,271.0,609.0,4360.0,34503,1.0
0.0,0.04,314.0,3.0,77794,1.0
0.0,0.787,836.0,19.0,85573,1.0
0.0,0.519,422.0,12.0,78953,1.0
0.0,0.117,325.0,5.0,87991,1.0
0.0,0.044,358.0,3.0,23131,1.0
0.0,0.156,349.0,6.0,23963,1.0
0.0,0.069,336.0,4.0,52623,1.0
0.0,0.41,535.0,11.0,61868,1.0
0.0,0.801,472.0,17.0,23329,1.0
0.0,0.043,345.0,3.0,59310,1.0
0.0,0.112,343.0,5.0,28567,1.0
0.0,0.275,519.0,9.0,59760,1.0
0.0,0.25,352.0,7.0,98400,1.0
0.0,0.193,354.0,6.0,26474,1.0
0.0,0.129,338.0,5.0,82218,1.0
0.0,1.1,625.0,26.0,47516,1.0
0.0,2.63,834.0,55.0,50393,1.0
0.0,0.154,597.0,6.0,40890,1.0
0.0,0.085,365.0,4.0,34057,1.0
0.0,1.69,541.0,36.0,51604,1.0
0.0,36.8,656.0,755.0,75520,1.0
